DEPT_ID,DEPT_NAME,CREATED_ON,UPDATED_ON
1,Security,2016-02-02 14:02:21.303,2016-02-02 14:02:21.303
2,Indian Airforce,2017-01-11 12:26:39.977,2017-01-11 12:26:39.977
3,INDIAN NAVY,2017-01-12 16:23:31.380,2017-01-12 16:23:31.380
4,NDC,2017-01-12 16:38:33.670,2017-01-12 16:38:33.670
5,Indian Army,2017-02-23 15:21:34.740,2017-02-23 15:21:34.740
6,Indian Revenue Service,2017-02-23 16:17:21.017,2017-02-23 16:17:21.017
7,BHUTAN ARMY,2017-02-23 16:27:49.880,2017-02-23 16:28:12.017
8,ARMY,2017-02-23 16:32:23.360,2017-02-23 16:32:23.360
9,ANA- Army,2017-02-24 11:10:51.283,2017-02-24 11:10:51.283
10,Air Force,2017-02-24 11:46:24.340,2017-02-24 11:46:24.340
11,US Army,2017-02-24 11:54:24.267,2017-02-24 11:54:24.267
12,IPS,2017-02-24 13:16:50.110,2017-02-24 13:16:50.110
13,Navy,2017-02-24 14:27:32.453,2017-02-24 14:27:32.453
14,ARTILLERY,2017-02-27 16:57:55.760,2017-02-27 16:57:55.760
15,DRDS,2017-02-28 10:52:48.020,2017-02-28 10:52:48.020
16,Indian Telecommunication Service,2017-02-28 11:05:07.737,2017-02-28 11:05:07.737
17,IRPS,2017-03-07 11:35:17.300,2017-03-07 11:35:17.300
18,JDS (ADM),2017-03-08 15:28:13.707,2017-03-08 15:28:13.707
19,COORD,2017-03-08 15:38:55.203,2017-03-08 15:38:55.203
20,JDS(R&R),2017-03-08 16:20:42.030,2017-03-08 16:20:42.030
21,SDS,2017-03-09 14:58:52.520,2017-03-09 14:58:52.520
22,IAS,2017-03-16 09:27:22.957,2017-03-16 09:27:22.957
23,Indian Civil Services,2017-03-16 10:55:07.733,2017-03-16 10:55:07.733
24,Overseas,2017-03-16 12:11:23.020,2017-03-16 12:11:23.020
25,DS Coord,2017-03-16 15:47:25.607,2017-03-16 15:47:25.607
26,Research Coord,2017-03-16 15:49:37.343,2017-03-16 15:49:37.343
27,Civil,2017-03-16 16:03:31.907,2017-03-16 16:03:31.907
28,Course Member,2018-01-17 10:24:29.667,2018-01-17 10:24:29.667
29,AQ SETT,2018-02-13 14:36:36.053,2018-02-13 14:36:36.053
